,address,area,beds,full_bathrooms,half_bathrooms,price
647,"16225 N CAVE CREEK Road 9, Phoenix, AZ 85032",720 sq.ft.,2 beds,1 ,,"$18,000"
648,"12019 N 19TH Avenue, Phoenix, AZ 85029","5,161 sq.ft.",,,,"$1,150,000"
649,"16413 S 29TH Drive, Phoenix, AZ 85045","4,004 sq.ft.",4 beds,4 ,,"$1,149,000"
650,"41314 N BENT CREEK Way, Anthem, AZ 85086","2,793 sq.ft.",4 beds,3 ,,"$825,000"
651,"135 E NORTHERN Avenue, Phoenix, AZ 85020","2,523 sq.ft.",4 beds,3 ,,"$799,000"
652,"2114 W ALLEN Street, Phoenix, AZ 85041","2,878 sq.ft.",4 beds,3 ,,"$699,500"
653,"2718 N 8TH Street, Phoenix, AZ 85006","1,242 sq.ft.",2 beds,2 ,,"$625,000"
654,"4535 W COTTONTAIL Road, Phoenix, AZ 85086","2,104 sq.ft.",3 beds,3 ,,"$615,000"
655,"15235 S 37th Place, Phoenix, AZ 85044","1,957 sq.ft.",3 beds,2 ,,"$559,900"
656,"18650 N 4TH Street, Phoenix, AZ 85024","2,561 sq.ft.",5 beds,3 ,,"$545,000"
657,"19231 N 14TH Street, Phoenix, AZ 85024","1,724 sq.ft.",4 beds,2 ,,"$500,000"
658,"1322 E GLASS Lane, Phoenix, AZ 85042","1,946 sq.ft.",4 beds,3 ,,"$490,000"
659,"2128 W EARLL Drive, Phoenix, AZ 85015","1,224 sq.ft.",3 beds,2 ,,"$470,000"
660,"13448 N 18TH Drive, Phoenix, AZ 85029","1,554 sq.ft.",3 beds,2 ,,"$438,800"
661,"5 W Casa Hermosa Drive, Phoenix, AZ 85021","1,203 sq.ft.",2 beds,2 ,,"$425,000"
662,"3656 W ALICE Avenue, Phoenix, AZ 85051","1,967 sq.ft.",4 beds,2 ,,"$391,999"
663,"1509 E ROOSEVELT Street, Phoenix, AZ 85006",,,,,"$380,000"
664,"6703 N OCOTILLO HERMOSA Circle, Phoenix, AZ 85016","1,190 sq.ft.",2 beds,2 ,,"$370,000"
665,"1737 W BROWN Street, Phoenix, AZ 85021","1,262 sq.ft.",4 beds,3 ,,"$365,000"
666,"1510 W COLTER Street 5, Phoenix, AZ 85015","1,468 sq.ft.",3 beds,3 ,,"$345,000"
667,"2229 E PUEBLO Avenue, Phoenix, AZ 85040",979 sq.ft.,3 beds,1 ,,"$330,000"
668,"4829 E EUCLID Avenue 2, Phoenix, AZ 85044","1,015 sq.ft.",2 beds,1 ,,"$330,000"
669,"2706 E WILLETTA Street, Phoenix, AZ 85008",830 sq.ft.,2 beds,1 ,,"$325,000"
670,"535 W THOMAS Road 503, Phoenix, AZ 85013",847 sq.ft.,1 beds,1 ,,"$300,000"
671,"4114 E UNION HILLS Drive 1007, Phoenix, AZ 85050","1,267 sq.ft.",2 beds,3 ,,"$275,000"
672,"439xx N 24TH Street 1, New River, AZ 85087",,,,,"$175,000"
673,"500 N 67th Ave 069, Phoenix, AZ 85043",780 sq.ft.,2 beds,2 ,,"$169,900"
674,"3207 E Rosemonte Drive, Phoenix, AZ 85050","2,023 sq.ft.",4 beds,,,"$675,000"
675,"2438 E North Lane, Phoenix, AZ 85028","2,447 sq.ft.",4 beds,2 ,,"$959,000"
676,"3602 E BROOKWOOD Court, Phoenix, AZ 85048","2,500 sq.ft.",4 beds,3 ,,"$699,900"
677,"4719 E ROCKLEDGE Road, Phoenix, AZ 85044","2,342 sq.ft.",4 beds,3 ,,"$675,000"
678,"5550 N 16TH Street 135, Phoenix, AZ 85016","1,858 sq.ft.",3 beds,3 ,,"$525,000"
679,"9328 W DEVONSHIRE Avenue, Phoenix, AZ 85037","1,941 sq.ft.",4 beds,3 ,,"$499,000"
680,"1315 W CULVER Street, Phoenix, AZ 85007","1,137 sq.ft.",2 beds,1 ,,"$495,000"
681,"40608 N COLUMBIA Trail, Anthem, AZ 85086","1,567 sq.ft.",3 beds,2 ,,"$479,999"
682,"8609 W SELLS Drive, Phoenix, AZ 85037","1,820 sq.ft.",4 beds,2 ,,"$459,900"
683,"7117 W SOUTHGATE Avenue, Phoenix, AZ 85043","1,905 sq.ft.",3 beds,2 ,,"$435,000"
684,"7907 W CATALINA Drive, Phoenix, AZ 85033","1,757 sq.ft.",4 beds,2 ,,"$375,000"
685,"810 E COLTER Street 29, Phoenix, AZ 85014","1,406 sq.ft.",3 beds,2 ,,"$345,000"
686,"3900 E BASELINE Road 130, Phoenix, AZ 85042","1,236 sq.ft.",2 beds,2 ,,"$340,000"
687,"1612 N 77TH Glen, Phoenix, AZ 85035","1,285 sq.ft.",2 beds,3 ,,"$330,000"
688,"7930 W HAZELWOOD Street, Phoenix, AZ 85033",840 sq.ft.,2 beds,1 ,,"$325,000"
689,"4902 W OSBORN Road, Phoenix, AZ 85031","1,320 sq.ft.",3 beds,2 ,,"$320,000"
690,"1920 E BELL Road 1072, Phoenix, AZ 85022","1,344 sq.ft.",2 beds,3 ,,"$310,000"
691,"3605 W BETHANY HOME Road 10, Phoenix, AZ 85019","1,323 sq.ft.",4 beds,2 ,,"$265,000"
692,"16635 N CAVE CREEK Road 107, Phoenix, AZ 85032","1,134 sq.ft.",2 beds,2 ,,"$239,900"
693,"2847 N 46TH Avenue 12, Phoenix, AZ 85035",705 sq.ft.,1 beds,1 ,,"$173,000"
694,"10410 N Cave Creek Road Unit 2114, Phoenix, AZ 85020","1,337 sq.ft.",2 beds,,,"$383,000"
695,"1606 E Michelle Drive Unit 138, Phoenix, AZ 85022",896 sq.ft.,2 beds,,,"$52,000"
696,"311 W MONTEROSA Street, Phoenix, AZ 85013","4,372 sq.ft.",6 beds,4 ,,"$1,840,000"
697,"23032 N 38TH Place, Phoenix, AZ 85050","4,599 sq.ft.",6 beds,5 ,,"$1,650,000"
698,"2524 W JOY RANCH Road, Phoenix, AZ 85086","2,808 sq.ft.",4 beds,4 ,,"$1,345,000"
699,"4121 E ASHURST Drive, Phoenix, AZ 85048","2,072 sq.ft.",3 beds,2 ,,"$608,999"
700,"6515 W HONEYSUCKLE Drive, Phoenix, AZ 85083","1,867 sq.ft.",4 beds,2 ,,"$534,900"
701,"1515 W CAMPBELL Avenue, Phoenix, AZ 85015","1,328 sq.ft.",3 beds,2 ,,"$465,000"
702,"8809 W WILSHIRE Drive, Phoenix, AZ 85037","2,228 sq.ft.",5 beds,3 ,,"$405,000"
703,"3405 W FRAKTUR Road, Phoenix, AZ 85041","2,165 sq.ft.",4 beds,3 ,,"$399,900"
704,"8214 W WOOD Lane, Phoenix, AZ 85043","1,830 sq.ft.",3 beds,2 ,,"$399,000"
705,"330 E WHITTON Avenue, Phoenix, AZ 85012",972 sq.ft.,3 beds,1 ,,"$395,000"
706,"3250 W Grovers Avenue, Phoenix, AZ 85053","1,122 sq.ft.",3 beds,2 ,,"$393,000"
707,"4119 W KALER Drive, Phoenix, AZ 85051","1,778 sq.ft.",3 beds,2 ,,"$384,900"
708,"4101 W Encanto Boulevard, Phoenix, AZ 85009","1,080 sq.ft.",3 beds,2 ,,"$349,900"
709,"8821 W MONTEROSA Street, Phoenix, AZ 85037",984 sq.ft.,3 beds,1 ,,"$339,000"
710,"1630 W IRONWOOD Drive, Phoenix, AZ 85021","1,024 sq.ft.",3 beds,1 ,,"$325,000"
711,"3125 N 40TH Lane, Phoenix, AZ 85019","1,617 sq.ft.",3 beds,2 ,,"$325,000"
712,"3633 N 3RD Avenue 1109, Phoenix, AZ 85013",741 sq.ft.,1 beds,1 ,,"$280,000"
713,"3511 E BASELINE Road 1185, Phoenix, AZ 85042",826 sq.ft.,2 beds,2 ,,"$269,000"
714,"1250 E BETHANY HOME Road 16, Phoenix, AZ 85014",696 sq.ft.,1 beds,1 ,,"$249,000"
715,"19802 N 32nd Street Unit 35, Phoenix, AZ 85050","3,722 sq.ft.",2 beds,,,"$155,000"
716,"2132 W LEGENDS Way, Anthem, AZ 85086","3,950 sq.ft.",4 beds,4 ,,"$1,349,990"
717,"35035 N 3rd Street -, Phoenix, AZ 85086",,,,,"$875,000"
718,"37505 N 17th Street, Phoenix, AZ 85086","2,597 sq.ft.",3 beds,3 ,,"$799,000"
719,"1702 W YUMA Street, Phoenix, AZ 85007",,,,,"$650,000"
720,"2526 N 11TH Street, Phoenix, AZ 85006","1,242 sq.ft.",3 beds,2 ,,"$570,000"
721,"1602 W OLNEY Avenue -, Phoenix, AZ 85041",,,,,"$519,900"
722,"4321 W HEYERDAHL Drive, New River, AZ 85087","1,790 sq.ft.",4 beds,2 ,,"$518,999"
723,"5836 S 26th Place, Phoenix, AZ 85040","1,565 sq.ft.",3 beds,2 ,,"$460,000"
724,"3329 E TOPEKA Drive, Phoenix, AZ 85050","1,187 sq.ft.",2 beds,2 ,,"$425,000"
725,"13802 N 37TH Drive, Phoenix, AZ 85053","1,504 sq.ft.",4 beds,2 ,,"$379,900"
726,"3900 E BASELINE Road 146, Phoenix, AZ 85042","1,387 sq.ft.",2 beds,2 ,,"$375,000"
727,"4362 N 37TH Avenue, Phoenix, AZ 85019","1,004 sq.ft.",3 beds,2 ,,"$365,000"
728,"2144 W CHOLLA Street, Phoenix, AZ 85029",935 sq.ft.,2 beds,1 ,,"$325,000"
729,"3325 W THOMAS Road, Phoenix, AZ 85017","1,006 sq.ft.",4 beds,2 ,,"$300,000"
730,"20617 N 31ST Avenue, Phoenix, AZ 85027",823 sq.ft.,2 beds,1 ,,"$299,000"
731,"8215 N 21ST Drive D205, Phoenix, AZ 85021","1,282 sq.ft.",2 beds,2 ,,"$259,000"
732,"1720 E THUNDERBIRD Road 1031, Phoenix, AZ 85022",581 sq.ft.,1 beds,1 ,,"$205,000"
733,"16813 N. 3rd Avenue, #235 0235, Phoenix, AZ 85023","1,248 sq.ft.",2 beds,2 ,,"$96,900"
734,"6329 N 10TH Drive, Phoenix, AZ 85013","2,680 sq.ft.",4 beds,4 ,,"$1,600,000"
735,"1244 E Smokehouse Trail, Phoenix, AZ 85085","3,038 sq.ft.",6 beds,4 ,,"$1,435,000"
736,"3442 N 47 Way, Phoenix, AZ 85018","1,709 sq.ft.",3 beds,2 ,,"$1,200,000"
737,"726 E SHAWNA Court, Phoenix, AZ 85086","3,464 sq.ft.",4 beds,3 ,,"$1,150,000"
738,"2034 E GLENDALE Avenue, Phoenix, AZ 85020","2,297 sq.ft.",5 beds,3 ,,"$1,100,000"
739,"4145 E MORROW Drive, Phoenix, AZ 85050","2,675 sq.ft.",4 beds,3 ,,"$849,000"
740,"1215 E CAMBRIDGE Avenue, Phoenix, AZ 85006","2,415 sq.ft.",4 beds,3 ,,"$819,000"
741,"1719 E PONTIAC Drive, Phoenix, AZ 85024","2,248 sq.ft.",3 beds,3 ,,"$630,000"
742,"25908 N 22ND Lane, Phoenix, AZ 85085","1,846 sq.ft.",3 beds,3 ,,"$582,990"
743,"4201 S 76TH Lane, Phoenix, AZ 85043","2,019 sq.ft.",4 beds,2 ,,"$499,995"
744,"1 E LEXINGTON Avenue 711, Phoenix, AZ 85012","1,089 sq.ft.",2 beds,2 ,,"$499,000"
745,"1522 W FILLMORE Street, Phoenix, AZ 85007","1,285 sq.ft.",2 beds,2 ,,"$399,000"
746,"3232 W MONTECITO Avenue, Phoenix, AZ 85017","1,425 sq.ft.",3 beds,2 ,,"$355,000"
747,"8241 N CENTRAL Avenue 19, Phoenix, AZ 85020","1,088 sq.ft.",2 beds,2 ,,"$295,000"
748,"450 W EARLL Drive 13, Phoenix, AZ 85013","1,140 sq.ft.",2 beds,1 ,,"$280,000"
749,"7126 N 19TH Avenue 224, Phoenix, AZ 85021",836 sq.ft.,1 beds,2 ,,"$149,900"
750,"8020 S 19th Avenue, Phoenix, AZ 85041",,,,,"$2,499,000"
751,"10911 W Montecito Ave, Phoenix, AZ 85037","1,197 sq.ft.",3 beds,,,"$357,000"
752,"2029 W Stella Ln, Phoenix, AZ 85015",,3 beds,2 ,,"$403,900"
753,"1702 W Mountain View Rd, Phoenix, AZ 85021",,3 beds,2 ,,"$330,000"
754,"3026 N 16th Street, Phoenix, AZ 85014","1,904 sq.ft.",,,,"$1,250,000"
755,"2333 E Mountain Vista Drive, Phoenix, AZ 85048","1,812 sq.ft.",3 beds,2 ,,"$619,000"
756,"1337 W LATHAM Street, Phoenix, AZ 85007","1,149 sq.ft.",3 beds,1 ,,"$550,000"
757,"17819 N 35TH Street, Phoenix, AZ 85032","1,392 sq.ft.",3 beds,2 ,,"$499,999"
758,"18446 N 30TH Lane, Phoenix, AZ 85053","1,982 sq.ft.",4 beds,2 ,,"$450,000"
759,"1522 W FILLMORE Street 6 & 7, Phoenix, AZ 85007",,,,,"$399,000"
760,"8412 N 32ND Avenue, Phoenix, AZ 85051","1,692 sq.ft.",4 beds,3 ,,"$280,000"
761,"730 E HAYWARD Avenue, Phoenix, AZ 85020","2,706 sq.ft.",3 beds,3 ,,"$1,100,000"
762,"22428 N 34th Place, Phoenix, AZ 85050","1,973 sq.ft.",3 beds,2 ,,"$825,000"
763,"2626 N 19TH Avenue, Phoenix, AZ 85009","2,226 sq.ft.",3 beds,3 ,,"$737,500"
764,"3200 N 39th Street 1, Phoenix, AZ 85018","2,196 sq.ft.",4 beds,3 ,,"$700,000"
765,"815 E HOPI Trail, Phoenix, AZ 85042","2,076 sq.ft.",3 beds,3 ,,"$634,900"
766,"41115 N EAGLE Trail, Anthem, AZ 85086","1,622 sq.ft.",3 beds,2 ,,"$550,000"
767,"2504 W STRAIGHT ARROW Lane, Phoenix, AZ 85085","1,982 sq.ft.",3 beds,3 ,,"$520,000"
768,"1136 E WILDWOOD Drive, Phoenix, AZ 85048","1,356 sq.ft.",2 beds,2 ,,"$499,900"
769,"2514 W BISBEE Way, Anthem, AZ 85086","1,638 sq.ft.",3 beds,2 ,,"$499,000"
770,"3659 S 63RD Drive, Phoenix, AZ 85043","1,939 sq.ft.",5 beds,3 ,,"$489,990"
771,"18843 N 15TH Place, Phoenix, AZ 85024","1,551 sq.ft.",3 beds,2 ,,"$480,000"
772,"40807 N CITRUS CANYON Trail, Anthem, AZ 85086","1,432 sq.ft.",3 beds,2 ,,"$445,000"
773,"8233 N 39TH Drive, Phoenix, AZ 85051","1,794 sq.ft.",3 beds,2 ,,"$399,933"
774,"605 E ATLANTA Avenue, Phoenix, AZ 85040","1,641 sq.ft.",4 beds,3 ,,"$389,000"
775,"6720 N 34TH Avenue, Phoenix, AZ 85017","1,503 sq.ft.",3 beds,2 ,,"$384,995"
776,"10610 S 48TH Street 1081, Phoenix, AZ 85044",965 sq.ft.,2 beds,2 ,,"$282,000"
777,"4128 E MORELAND Street 3, Phoenix, AZ 85008",752 sq.ft.,2 beds,1 ,,"$249,900"
778,"4134 E MORELAND Street 4, Phoenix, AZ 85008",752 sq.ft.,2 beds,1 ,,"$249,900"
779,"16617 N. 1st Lane, #131 0131, Phoenix, AZ 85023","1,056 sq.ft.",2 beds,2 ,,"$82,500"
780,"3011 E LOS GATOS Drive, Phoenix, AZ 85050","3,450 sq.ft.",5 beds,3 ,,"$1,999,950"
781,"22105 N 59TH Way, Phoenix, AZ 85054","3,505 sq.ft.",4 beds,5 ,,"$1,575,000"
782,"1351 E MCLELLAN Boulevard, Phoenix, AZ 85014","2,747 sq.ft.",4 beds,3 ,,"$1,299,000"
783,"3106 W BLUE EAGLE Lane, Phoenix, AZ 85086","4,792 sq.ft.",5 beds,4 ,,"$1,285,000"
784,"2329 W SPEER Trail, Phoenix, AZ 85086","3,137 sq.ft.",3 beds,3 ,,"$1,150,000"
785,"2930 E WASHINGTON Street, Phoenix, AZ 85034","5,750 sq.ft.",,,,"$1,150,000"
786,"4126 E BELL Road, Phoenix, AZ 85032","2,693 sq.ft.",,,,"$1,100,000"
787,"2827 W ADVENTURE Drive, Anthem, AZ 85086","3,834 sq.ft.",5 beds,4 ,,"$995,000"
788,"25804 N 44TH Way, Phoenix, AZ 85050","3,071 sq.ft.",5 beds,3 ,,"$899,000"
789,"3212 E CONSTANCE Way, Phoenix, AZ 85042","2,588 sq.ft.",3 beds,3 ,,"$850,000"
790,"2248 W BONANZA Lane, Phoenix, AZ 85085","3,125 sq.ft.",5 beds,3 ,,"$810,000"
791,"26815 N 15TH Drive, Phoenix, AZ 85085","2,976 sq.ft.",4 beds,4 ,,"$799,000"
792,"5226 W PINNACLE VISTA Drive, Phoenix, AZ 85083","3,638 sq.ft.",4 beds,4 ,,"$799,000"
793,"1008 W CIRCLE MOUNTAIN Road, New River, AZ 85087","1,980 sq.ft.",3 beds,3 ,,"$749,000"
794,"3301 W WESCOTT Drive, Phoenix, AZ 85027","2,476 sq.ft.",4 beds,3 ,,"$595,000"
795,"41046 N WILD WEST Trail, Anthem, AZ 85086","2,836 sq.ft.",4 beds,3 ,,"$585,000"
796,"3055 N 33RD Place, Phoenix, AZ 85018","2,108 sq.ft.",4 beds,3 ,,"$579,000"
797,"9603 N 15TH Street, Phoenix, AZ 85020","1,775 sq.ft.",3 beds,3 ,,"$540,000"
798,"1701 E PICKRELL Drive, Phoenix, AZ 85042","1,670 sq.ft.",3 beds,2 ,,"$490,000"
799,"2512 W Carter Road, Phoenix, AZ 85041","2,814 sq.ft.",4 beds,3 ,,"$485,000"
800,"2528 E SWEETWATER Avenue, Phoenix, AZ 85032","1,066 sq.ft.",2 beds,1 ,,"$450,000"
801,"4142 E CHOLLA CANYON Drive, Phoenix, AZ 85044","1,661 sq.ft.",3 beds,3 ,,"$449,990"
802,"4624 E CHEYENNE Drive, Phoenix, AZ 85044","1,209 sq.ft.",3 beds,2 ,,"$420,000"
803,"225 W Monte Way Way, Phoenix, AZ 85041","1,856 sq.ft.",4 beds,2 ,,"$419,999"
804,"4179 W HEARN Road, Phoenix, AZ 85053","2,147 sq.ft.",4 beds,3 ,,"$419,900"
805,"1350 N 37TH Drive, Phoenix, AZ 85009","1,402 sq.ft.",3 beds,2 ,,"$405,000"
806,"5186 E MONTE VISTA Road, Phoenix, AZ 85008","1,153 sq.ft.",2 beds,2 ,,"$365,000"
807,"4107 W PINCHOT Avenue, Phoenix, AZ 85019","1,665 sq.ft.",4 beds,2 ,,"$364,000"
808,"11808 S HALF MOON Drive, Phoenix, AZ 85044","1,986 sq.ft.",4 beds,2 ,,"$360,000"
809,"4926 N ECO Circle, Phoenix, AZ 85037","1,017 sq.ft.",3 beds,2 ,,"$355,000"
810,"1122 W SUNLAND Avenue, Phoenix, AZ 85041","1,266 sq.ft.",3 beds,1 ,,"$347,990"
811,"3421 W MICHIGAN Avenue, Phoenix, AZ 85053","1,292 sq.ft.",4 beds,2 ,,"$345,000"
812,"4816 E WINSTON Drive 3, Phoenix, AZ 85044","1,060 sq.ft.",2 beds,2 ,,"$325,000"
813,"15442 N 29TH Street 4, Phoenix, AZ 85032","1,110 sq.ft.",3 beds,2 ,,"$315,000"
814,"915 E CHARLESTON Avenue, Phoenix, AZ 85022","1,214 sq.ft.",1 beds,2 ,,"$315,000"
815,"15620 N 15TH Avenue, Phoenix, AZ 85023","1,152 sq.ft.",2 beds,2 ,,"$274,900"
816,"16635 N CAVE CREEK Road 224, Phoenix, AZ 85032","1,134 sq.ft.",2 beds,2 ,,"$245,900"
817,"1447 N 54TH Avenue, Phoenix, AZ 85043",850 sq.ft.,2 beds,1 ,,"$182,000"
818,"500 N 67th Ave 194, Phoenix, AZ 85043","1,440 sq.ft.",4 beds,2 ,,"$175,000"
819,"500 N 67th Ave 172, Phoenix, AZ 85043","1,440 sq.ft.",4 beds,2 ,,"$170,000"
820,"19008 N 41st Place, Phoenix, AZ 85050","1,492 sq.ft.",3 beds,,,"$510,000"
821,"3718 N Longview Avenue, Phoenix, AZ 85014","1,545 sq.ft.",3 beds,,,"$510,000"
822,"21716 N 61st Way, Phoenix, AZ 85054","3,744 sq.ft.",5 beds,5 ,,"$1,550,000"
823,"1328 E POMELO GROVE Lane, Phoenix, AZ 85014","2,554 sq.ft.",4 beds,3 ,,"$1,450,000"
824,"2441 E OREGON Avenue, Phoenix, AZ 85016","1,906 sq.ft.",3 beds,3 ,,"$958,900"
825,"N 7th Street 1, Phoenix, AZ 85086",,,,,"$900,000"
826,"1508 E SAN MIGUEL Avenue, Phoenix, AZ 85014","1,947 sq.ft.",3 beds,2 ,,"$894,000"
827,"4344 E BECK Lane, Phoenix, AZ 85032","2,147 sq.ft.",4 beds,2 ,,"$830,000"
828,"15408 S 15TH Avenue, Phoenix, AZ 85045","2,508 sq.ft.",4 beds,3 ,,"$725,000"
829,"4506 N 10TH Street 1, Phoenix, AZ 85014","2,314 sq.ft.",3 beds,4 ,,"$699,900"
830,"3414 E Glenhaven Drive, Phoenix, AZ 85048","2,849 sq.ft.",5 beds,3 ,,"$625,000"
831,"2323 N CENTRAL Avenue 1803, Phoenix, AZ 85004","1,456 sq.ft.",2 beds,2 ,,"$550,000"
832,"19025 N 12TH Street, Phoenix, AZ 85024","2,086 sq.ft.",4 beds,3 ,,"$524,895"
833,"7887 N 16th Street 109, Phoenix, AZ 85020","1,446 sq.ft.",3 beds,2 ,,"$519,000"
834,"2222 W WELDON Avenue, Phoenix, AZ 85015","2,110 sq.ft.",4 beds,2 ,,"$515,000"
835,"15608 N 38TH Place N, Phoenix, AZ 85032","1,608 sq.ft.",3 beds,2 ,,"$495,000"
836,"38107 N PAGODA Lane, Phoenix, AZ 85086","1,432 sq.ft.",3 beds,2 ,,"$459,000"
837,"820 W HONONEGH Drive, Phoenix, AZ 85027","1,328 sq.ft.",3 beds,2 ,,"$429,000"
838,"3071 W MELINDA Lane, Phoenix, AZ 85027","1,284 sq.ft.",3 beds,2 ,,"$419,000"
839,"1339 W ESCUDA Road, Phoenix, AZ 85027","1,308 sq.ft.",3 beds,2 ,,"$417,500"
840,"16619 N 30TH Avenue, Phoenix, AZ 85053","1,511 sq.ft.",3 beds,2 ,,"$412,000"
841,"1057 E BUTLER Drive C1, Phoenix, AZ 85020","1,146 sq.ft.",2 beds,2 ,,"$400,000"
842,"2928 E MOBILE Lane, Phoenix, AZ 85040","1,774 sq.ft.",3 beds,2 ,,"$399,750"
843,"3202 W LIBBY Street, Phoenix, AZ 85053","1,218 sq.ft.",3 beds,2 ,,"$389,900"
844,"6330 W CYPRESS Street, Phoenix, AZ 85035","1,640 sq.ft.",4 beds,2 ,,"$375,000"
845,"4850 S 4TH Avenue, Phoenix, AZ 85041","1,294 sq.ft.",3 beds,3 ,,"$325,000"
846,"10462 W MONTEROSA Street, Phoenix, AZ 85037",924 sq.ft.,2 beds,1 ,,"$307,999"
847,"14872 N 24TH Drive 9, Phoenix, AZ 85023","1,117 sq.ft.",2 beds,2 ,,"$250,000"
848,"17821 N 5TH Street N, Phoenix, AZ 85022","1,353 sq.ft.",3 beds,2 ,,"$250,000"
849,"4750 N CENTRAL Avenue 10B, Phoenix, AZ 85012",702 sq.ft.,1 beds,1 ,,"$225,000"
850,"10411 N 11TH Avenue 16, Phoenix, AZ 85021",943 sq.ft.,2 beds,2 ,,"$200,000"
851,"1701 W TUCKEY Lane 110, Phoenix, AZ 85015",998 sq.ft.,2 beds,2 ,,"$183,900"
852,"18202 N CAVE CREEK Road 227, Phoenix, AZ 85032",836 sq.ft.,3 beds,1 ,,"$175,000"
853,"18836 N 41st St, Phoenix, AZ 85050","2,039 sq.ft.",4 beds,2 ,,"$720,000"
854,"4514 E CHEERY LYNN Road, Phoenix, AZ 85018","3,082 sq.ft.",4 beds,4 ,,"$2,188,888"
855,"2532 E Mescal Street, Phoenix, AZ 85028","2,526 sq.ft.",4 beds,3 ,,"$925,000"
856,"114 N 9TH Avenue, Phoenix, AZ 85007","1,976 sq.ft.",,,,"$825,000"
857,"1844 W VIRGINIA Avenue, Phoenix, AZ 85007","1,750 sq.ft.",3 beds,2 ,,"$650,000"
858,"1412 E YALE Street, Phoenix, AZ 85006","1,186 sq.ft.",3 beds,2 ,,"$580,000"
859,"1322 W NORTH Lane, Phoenix, AZ 85021",,,,,"$550,000"
860,"37411 N 20TH Street, Phoenix, AZ 85086","2,755 sq.ft.",4 beds,2 ,,"$535,000"
861,"12630 N 28TH Street, Phoenix, AZ 85032","1,551 sq.ft.",3 beds,2 ,,"$524,900"
862,"5350 E DEER VALLEY Drive 4238, Phoenix, AZ 85054","1,423 sq.ft.",2 beds,2 ,,"$514,500"
863,"27812 N 26TH Avenue, Phoenix, AZ 85085","1,558 sq.ft.",3 beds,3 ,,"$499,000"
864,"5209 N 24TH Street 104, Phoenix, AZ 85016",870 sq.ft.,1 beds,2 ,,"$450,000"
865,"3658 W THALIA Court, Phoenix, AZ 85086","1,772 sq.ft.",4 beds,3 ,,"$445,000"
866,"17423 N 36TH Street, Phoenix, AZ 85032","1,433 sq.ft.",3 beds,2 ,,"$440,000"
867,"2725 W BOWKER Street, Phoenix, AZ 85041","1,757 sq.ft.",4 beds,2 ,,"$428,480"
868,"14827 N 29TH Drive, Phoenix, AZ 85053","1,825 sq.ft.",3 beds,2 ,,"$425,000"
869,"1617 W COLTER Street 16, Phoenix, AZ 85015","1,254 sq.ft.",2 beds,3 ,,"$390,000"
870,"414 E CODY Drive, Phoenix, AZ 85040","1,344 sq.ft.",4 beds,2 ,,"$378,900"
871,"3615 W Rancho Drive, Phoenix, AZ 85019","1,360 sq.ft.",4 beds,2 ,,"$364,900"
872,"6348 N 7th Avenue 5, Phoenix, AZ 85013","1,024 sq.ft.",2 beds,2 ,,"$294,000"
873,"118 N 9TH Avenue 8, Phoenix, AZ 85007",,,,,"$185,000"
874,"2121 W ROYAL PALM Road 1068, Phoenix, AZ 85021",706 sq.ft.,1 beds,2 ,,"$175,000"
875,"4750 N CENTRAL Avenue 5E, Phoenix, AZ 85012",602 sq.ft.,1 beds,1 ,,"$129,999"
876,"4533 N 22nd St 101, Phoenix, AZ 85016",,2 beds,2 ,,"$435,000"
877,"5502 E MARIPOSA Street, Phoenix, AZ 85018","5,858 sq.ft.",5 beds,5 ,,"$7,450,000"
878,"54 W LYNWOOD Street, Phoenix, AZ 85003","3,641 sq.ft.",6 beds,5 ,,"$1,425,000"
879,"1921 W YEARLING Road, Phoenix, AZ 85085","2,501 sq.ft.",4 beds,3 ,,"$999,000"
880,"116 W BRAEBURN Drive, Phoenix, AZ 85023","2,214 sq.ft.",4 beds,2 ,,"$875,000"
881,"2209 E WINDSOR Avenue, Phoenix, AZ 85006","2,444 sq.ft.",3 beds,3 ,,"$775,000"
882,"2323 N CENTRAL Avenue 705, Phoenix, AZ 85004","1,398 sq.ft.",2 beds,2 ,,"$695,000"
883,"1828 W DEER CREEK Road, Phoenix, AZ 85045","2,209 sq.ft.",3 beds,2 ,,"$649,900"
884,"3402 W ZUNI BRAVE Trail, Phoenix, AZ 85086","1,645 sq.ft.",3 beds,2 ,,"$600,000"
885,"41610 N CEDAR CHASE Road, Anthem, AZ 85086","1,344 sq.ft.",2 beds,2 ,,"$530,000"
886,"1219 E SILVERWOOD Drive, Phoenix, AZ 85048","1,448 sq.ft.",3 beds,2 ,,"$475,000"
887,"2825 E TRACY Lane 1, Phoenix, AZ 85032","2,157 sq.ft.",3 beds,3 ,,"$447,900"
888,"3478 E LUDLOW Drive, Phoenix, AZ 85032","1,344 sq.ft.",3 beds,2 ,,"$430,000"
889,"46908 N 27TH Avenue, New River, AZ 85087","1,756 sq.ft.",3 beds,2 ,,"$425,000"
890,"21211 N 34TH Drive, Phoenix, AZ 85027","1,200 sq.ft.",3 beds,2 ,,"$410,000"
891,"4319 W SHERIDAN Street, Phoenix, AZ 85035","1,626 sq.ft.",3 beds,2 ,,"$368,000"
892,"4102 E RAY Road 1006, Phoenix, AZ 85044","1,396 sq.ft.",2 beds,3 ,,"$355,000"
893,"1816 E SANDRA Terrace, Phoenix, AZ 85022",910 sq.ft.,2 beds,2 ,,"$335,000"
