,address,area,beds,full_bathrooms,half_bathrooms,price
48,"2130 E Turney Avenue 4, Phoenix, AZ 85016","2,530 sq.ft.",4 beds,5 ,,"$995,000"
49,"811 E EUGIE Avenue, Phoenix, AZ 85022",920 sq.ft.,2 beds,2 ,,"$300,000"
50,"3809 N 51ST Street, Phoenix, AZ 85018","2,289 sq.ft.",3 beds,2 ,,"$1,495,000"
51,"907 E GARY Lane, Phoenix, AZ 85042","2,433 sq.ft.",4 beds,3 ,,"$525,000"
52,"6427 W BUCKSKIN Trail, Phoenix, AZ 85083","3,645 sq.ft.",5 beds,3 ,,"$675,000"
53,"2302 W FLOWER Street, Phoenix, AZ 85015","1,766 sq.ft.",3 beds,2 ,,"$450,000"
54,"3934 E MULBERRY Drive, Phoenix, AZ 85018","1,779 sq.ft.",4 beds,3 ,,"$729,444"
55,"6323 N 10TH Drive, Phoenix, AZ 85013","2,680 sq.ft.",4 beds,4 ,,"$1,650,000"
56,"6314 N 10TH Drive, Phoenix, AZ 85013","2,703 sq.ft.",4 beds,4 ,,"$1,650,000"
57,"6337 N 10TH Drive, Phoenix, AZ 85013","2,696 sq.ft.",4 beds,5 ,,"$1,575,000"
58,"3807 N 55TH Place, Phoenix, AZ 85018","5,178 sq.ft.",6 beds,5 ,,"$4,350,000"
59,"719 E MORELAND Street, Phoenix, AZ 85006","1,551 sq.ft.",3 beds,1 ,,"$499,999"
60,"1311 E MCKINLEY Street, Phoenix, AZ 85006","2,149 sq.ft.",3 beds,3 ,,"$710,000"
61,"1348 E MORELAND Street, Phoenix, AZ 85006","1,242 sq.ft.",2 beds,1 ,,"$405,000"
62,"2246 W SPEER Trail, Phoenix, AZ 85086","3,855 sq.ft.",4 beds,4 ,,"$1,399,000"
63,"1034 E TOPEKA Drive, Phoenix, AZ 85024","2,355 sq.ft.",4 beds,2 ,,"$599,000"
64,"2138 W RED FOX Road, Phoenix, AZ 85085","4,105 sq.ft.",7 beds,5 ,,"$1,015,000"
65,"13256 N 38th Place, Phoenix, AZ 85032","1,240 sq.ft.",3 beds,2 ,,"$438,500"
66,"3131 N CENTRAL Avenue 3012, Phoenix, AZ 85012","1,419 sq.ft.",2 beds,2 ,,"$668,880"
67,"3131 N CENTRAL Avenue 3013, Phoenix, AZ 85012","1,125 sq.ft.",2 beds,2 ,,"$564,668"
68,"3131 N CENTRAL Avenue 3014, Phoenix, AZ 85012","1,125 sq.ft.",2 beds,2 ,,"$499,900"
69,"3131 N CENTRAL Avenue 3015, Phoenix, AZ 85012","1,363 sq.ft.",2 beds,2 ,,"$680,517"
70,"3131 N CENTRAL Avenue 3018, Phoenix, AZ 85012","1,419 sq.ft.",2 beds,2 ,,"$650,000"
71,"3131 N CENTRAL Avenue 4014, Phoenix, AZ 85012","1,125 sq.ft.",2 beds,2 ,,"$525,000"
72,"3131 N CENTRAL Avenue 5012, Phoenix, AZ 85012","1,419 sq.ft.",2 beds,2 ,,"$696,772"
73,"3131 N CENTRAL Avenue 5013, Phoenix, AZ 85012","1,125 sq.ft.",2 beds,2 ,,"$543,000"
74,"3131 N CENTRAL Avenue 4013, Phoenix, AZ 85012","1,125 sq.ft.",2 beds,2 ,,"$533,000"
75,"3131 N CENTRAL Avenue 5021, Phoenix, AZ 85012","1,125 sq.ft.",2 beds,2 ,,"$561,668"
76,"3131 N CENTRAL Avenue 6012, Phoenix, AZ 85012","1,419 sq.ft.",2 beds,2 ,,"$709,900"
77,"3131 N CENTRAL Avenue 6013, Phoenix, AZ 85012","1,125 sq.ft.",2 beds,2 ,,"$572,768"
78,"3854 E TANGLEWOOD Drive, Phoenix, AZ 85048","2,502 sq.ft.",4 beds,3 ,,"$560,000"
79,"5824 W Encinas Lane, Phoenix, AZ 85043","1,839 sq.ft.",3 beds,3 ,,"$428,000"
80,"1957 W YELLOWBIRD Lane, Phoenix, AZ 85085","2,673 sq.ft.",4 beds,4 ,,"$795,900"
81,"41309 N BELFAIR Way, Anthem, AZ 85086","2,039 sq.ft.",3 beds,2 ,,"$579,875"
82,"41304 N BELFAIR Way, Anthem, AZ 85086","2,082 sq.ft.",3 beds,2 ,,"$526,790"
83,"1633 W EUGIE Avenue, Phoenix, AZ 85029","2,638 sq.ft.",6 beds,3 ,,"$650,000"
84,"1719 E VERDE Lane, Phoenix, AZ 85016","1,540 sq.ft.",3 beds,2 ,,"$525,000"
85,"4115 S 75TH Drive, Phoenix, AZ 85043","2,170 sq.ft.",4 beds,2 ,,"$575,000"
86,"4525 E LA MIRADA Way, Phoenix, AZ 85044","2,250 sq.ft.",4 beds,3 ,,"$650,000"
87,"2410 W ALOE VERA Drive, Phoenix, AZ 85085","2,739 sq.ft.",4 beds,3 ,,"$750,000"
88,"16235 N 37TH Place, Phoenix, AZ 85032","1,850 sq.ft.",4 beds,3 ,,"$634,499"
89,"1615 N 52ND Drive, Phoenix, AZ 85035","1,850 sq.ft.",6 beds,2 ,,"$429,900"
90,"3115 E VERBENA Drive, Phoenix, AZ 85048","3,149 sq.ft.",5 beds,3 ,,"$705,000"
91,"21637 N 59TH Terrace, Phoenix, AZ 85054","2,051 sq.ft.",3 beds,3 ,,"$1,148,000"
92,"4207 E WESCOTT Drive, Phoenix, AZ 85050","2,039 sq.ft.",3 beds,2 ,,"$650,000"
93,"9315 W MARIPOSA Drive, Phoenix, AZ 85037","2,157 sq.ft.",3 beds,2 ,,"$465,000"
94,"1739 E CLAREMONT Street, Phoenix, AZ 85016","2,034 sq.ft.",4 beds,3 ,,"$1,200,000"
95,"1808 W STRAIGHT ARROW Lane, Phoenix, AZ 85085","2,413 sq.ft.",3 beds,2 ,,"$650,000"
96,"21459 N 29TH Drive, Phoenix, AZ 85027","1,350 sq.ft.",3 beds,3 ,,"$475,000"
97,"533 W OREGON Avenue, Phoenix, AZ 85013","2,057 sq.ft.",3 beds,3 ,,"$985,000"
